circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Alstroemeria Records,POP|CULTURE 3,POP|CULTURE 3,,Masayoshi Minoshima,,オリジナル,1,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,Lost Emotion,nomico,Masayoshi Minoshima,Haruka,亡失のエモーション,2,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,Regret,nachi,Masayoshi Minoshima,Haruka,オリジナル,3,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,Temper,Mei Ayakura,Masayoshi Minoshima,Haruka,She's in a temper!!,4,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,COMO,,Tracy,,ネクロファンタジア,5,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,"Deeper Than Your Eyes, Farther Than Platinum Moon",Mei Ayakura,Camellia,Camellia,竹取飛翔　～ Lunatic Princess,6,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,Peaceful Romancer,mican*,Masayoshi Minoshima,Haruka,Peaceful Romancer,7,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,Doll of Misery,ayame,Masayoshi Minoshima,Haruka,悲しき人形　～ Doll of Misery,8,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,サクラ・ホライズン(BEATLESS),nachi,Masayoshi Minoshima,Haruka,さくらさくら　～ Japanize Dream...,9,博麗神社例大祭12
Alstroemeria Records,POP|CULTURE 3,Exit,,Masayoshi Minoshima,,オリジナル,10,博麗神社例大祭12
