circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Alstroemeria Records,POP|CULTURE,POP|CULTURE,,Masayoshi Minoshima,,,1,コミックマーケット84
Alstroemeria Records,POP|CULTURE,ETERNAL DREAM,坂上なち,Masayoshi Minoshima,Haruka,Eternal Dream　～ 幽玄の槭樹,2,コミックマーケット84
Alstroemeria Records,POP|CULTURE,A SACRET LOT,綾倉盟,Masayoshi Minoshima,Haruka,A Sacred Lot,3,コミックマーケット84
Alstroemeria Records,POP|CULTURE,BINARY CATWALK,綾倉盟,Camellia,Camellia,もう歌しか聞こえない,4,コミックマーケット84
Alstroemeria Records,POP|CULTURE,FRAGILE UNITY,,Masayoshi Minoshima,,非統一魔法世界論,5,コミックマーケット84
Alstroemeria Records,POP|CULTURE,DREAMLIGHTS,mican*,Masayoshi Minoshima,Haruka,ネクロファンタジア,6,コミックマーケット84
Alstroemeria Records,POP|CULTURE,ETERNAL VERITIES,ayame,Masayoshi Minoshima,Haruka,久遠の夢,7,コミックマーケット84
Alstroemeria Records,POP|CULTURE,IMPLEMENTATION,,Masayoshi Minoshima,,,8,コミックマーケット84
Alstroemeria Records,POP|CULTURE,PHYSALIS,坂上なち,Masayoshi Minoshima,Haruka,ほおずきみたいに紅い魂,9,コミックマーケット84
Alstroemeria Records,POP|CULTURE,BAD APPLE!! feat.nomico(ANIMELO SUMMER LIVE 2010 EDIT),nomico,Masayoshi Minoshima,Haruka,Bad Apple!!,10,コミックマーケット84
