circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
tri-tone,"native;faith","native;faith(Trance mix)",,,,,1,
tri-tone,"native;faith","forest(Trance mix)",,,,,2,
tri-tone,"native;faith","aqua(House mix)",,,,,3,
