circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Unrequited Hearts,MinaMo,KUMI(ヲタみん),きりん,海兎,キャプテン・ムラサ,1,コミックマーケット87
Amateras Records,Unrequited Hearts,Missing Moon,miko,MARIN,海兎,ヴォヤージュ1969,2,コミックマーケット87
Amateras Records,Unrequited Hearts,Lonly Ranunculus,築山さえ,Tracy,築山さえ,ハルトマンの妖怪少女,3,コミックマーケット87
Amateras Records,Unrequited Hearts,Space Busters,ななひら,cYsmix,海兎,平安のエイリアン,4,コミックマーケット87
Amateras Records,Unrequited Hearts,Last Lullaby,みかん汁,Tracy,海兎,死体旅行　～ Be of good cheer!,5,コミックマーケット87
Amateras Records,Unrequited Hearts,Bad End,築山さえ,溝口ゆうま,築山さえ,Bad Apple!!,6,コミックマーケット87
Amateras Records,Unrequited Hearts,ラストフレーズ,まめみ,MARIN,海兎,夜雀の歌声　～ Night Bird,7,コミックマーケット87
Amateras Records,Unrequited Hearts,Flying!,築山さえ,Tracy,海兎,柳の下のデュラハン,8,コミックマーケット87
Amateras Records,Unrequited Hearts,ヒトリキリノセカイ,大瀬良あい,MUZIK SERVANT,海兎,亡失のエモーション,9,コミックマーケット87
Amateras Records,Unrequited Hearts,Lies in the mirror,築山さえ,隣人,隣人,プレインエイジア,10,コミックマーケット87
