circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Trip to Fairyland,アタラシイセカイ,築山さえ,Kirin,築山さえ,宇宙巫女現る,1,コミックマーケット89
Amateras Records,Trip to Fairyland,Fortune Is Not Control,黒崎朔夜,MARIN,海兎,凍り付いた永遠の都,2,コミックマーケット89
Amateras Records,Trip to Fairyland,Nothingness,KUMI(ヲタみん),Masayoshi Minoshima,築山さえ,湖は浄めの月光を映して,3,コミックマーケット89
Amateras Records,Trip to Fairyland,Live It!,miko,taqumi,海兎,遥か３８万キロのボヤージュ,4,コミックマーケット89
Amateras Records,Trip to Fairyland,MGMG,えみぃ,溝口ゆうま,海兎,九月のパンプキン,5,コミックマーケット89
Amateras Records,Trip to Fairyland,W.O.F.,築山さえ,MUZIK SERVANT,築山さえ,逆転するホイールオブフォーチュン,6,コミックマーケット89
Amateras Records,Trip to Fairyland,Complication,加藤乃依,Tracy,築山さえ,ピュアヒューリーズ　～ 心の在処,7,コミックマーケット89
Amateras Records,Trip to Fairyland,Special Smile,築山さえ,Tracy,築山さえ,星条旗のピエロ,8,コミックマーケット89
Amateras Records,Trip to Fairyland,Fleeting,大瀬良あい,MARIN,海兎,忘れがたき、よすがの緑,9,コミックマーケット89
Amateras Records,Trip to Fairyland,春夢,築山さえ,MARIN,築山さえ,永遠の春夢,10,コミックマーケット89
