circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Radical Destruction the instrumental,Fighter Girl,,Tomoya,,上海紅茶館　～ Chinese Tea,1,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Secret Melody,,Tracy,,ルーネイトエルフ,2,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Luv For U,,Tracy,,U.N.オーエンは彼女なのか？,3,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,ふわり日和,,MiYAMO,,おてんば恋娘,4,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Tear Rain,,cYsmix,,魔法少女達の百年祭,5,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Impact Factor,,天音,,妖魔夜行,6,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Knowledge Chronicle,,MARIN,,ラクトガール　～ 少女密室,7,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Important Lie,,Tracy,,亡き王女の為のセプテット,8,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,十六夜心,,cittan*,,メイドと血の懐中時計,9,コミックマーケット85
Amateras Records,Radical Destruction the instrumental,Another Frontier,,Tracy,,紅楼　～ Eastern Dream...,10,コミックマーケット85
