circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Cleave Ambivalence,Deflation,あひる,MARIN,海兎,月時計　～ ルナ・ダイアル,1,コミックマーケット88
Amateras Records,Cleave Ambivalence,Empty Dream,築山さえ,Tracy,築山さえ,Maple Dream...,2,コミックマーケット88
Amateras Records,Cleave Ambivalence,キミイロ恋愛主義,築山さえ:紫咲ほたる,Tracy,海兎,神々が恋した幻想郷,3,コミックマーケット88
Amateras Records,Cleave Ambivalence,恋情フィロソフィア,大瀬良あい,天音,こばきょん,懐かしき東方の血　～ Old World,4,コミックマーケット88
Amateras Records,Cleave Ambivalence,Tragedy,築山さえ,Masayoshi Minoshima,築山さえ,東方妖々夢　～ Ancient Temple,5,コミックマーケット88
Amateras Records,Cleave Ambivalence,LUNATIC NIGHT!,まめみ,溝口ゆうま,海兎,狂気の瞳　～ Invisible Full Moon,6,コミックマーケット88
Amateras Records,Cleave Ambivalence,Dear New-World,築山さえ,MARIN,築山さえ,輝く針の小人族　～ Little Princess,7,コミックマーケット88
Amateras Records,Cleave Ambivalence,Bloody Bloody Moon,KUMI(ヲタみん),MARIN,築山さえ,メイドと血の懐中時計,8,コミックマーケット88
Amateras Records,Cleave Ambivalence,Fall of Love!,miko,MARIN,海兎,フォールオブフォール　～ 秋めく滝,9,コミックマーケット88
Amateras Records,Cleave Ambivalence,Punishment [Tracy Remix],nachi,Masayoshi Minoshima,Haruka,時の風,10,コミックマーケット88
