circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Sparkling Alteration,PLASTIC DREAMER,築山さえ,隣人,隣人,プラスチックマインド,1,コミックマーケット90
Amateras Records,Sparkling Alteration,Fleeting Love,miko,MUZIK SERVANT:LU-I,海兎,the Last Judgement,2,コミックマーケット90
Amateras Records,Sparkling Alteration,神様アマノジャク,築山さえ,Tracy,築山さえ,ネイティブフェイス,3,コミックマーケット90
Amateras Records,Sparkling Alteration,Scarlet Keeper,まめみ,taqumi,まめみ,上海紅茶館　～ Chinese Tea,4,コミックマーケット90
Amateras Records,Sparkling Alteration,Quarter,美里,Tracy,海兎,六十年目の東方裁判　～ Fate of Sixty Years,5,コミックマーケット90
Amateras Records,Sparkling Alteration,All is Decided,moca,溝口ゆうま,溝口ゆうま,Maple Dream...,6,コミックマーケット90
Amateras Records,Sparkling Alteration,Swear,築山さえ,Masayoshi Minoshima,築山さえ,戦車むすめのみるゆめ,7,コミックマーケット90
Amateras Records,Sparkling Alteration,Stray Star,nayuta,Tracy,海兎,不思議の国のアリス,8,コミックマーケット90
Amateras Records,Sparkling Alteration,Magic Butterfly,築山さえ,MARIN,築山さえ,法界の火,9,コミックマーケット90
Amateras Records,Sparkling Alteration,Song for you.,KUMI(ヲタみん),Tracy,築山さえ,佐渡の二ッ岩,10,コミックマーケット90
