circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
あ～るの～と,東方神歌,Love it!!,藤宮ゆき,,,忘れがたき、よすがの緑,1,コミックマーケット91
あ～るの～と,東方神歌,恋色マジカルスター,藤宮ゆき:うっち－,,,恋色マスタースパーク,2,コミックマーケット91
あ～るの～と,東方神歌,不死鳥,うっち－,,,月まで届け、不死の煙,3,コミックマーケット91
あ～るの～と,東方神歌,青空,藤宮ゆき,,,パンデモニックプラネット,4,コミックマーケット91
あ～るの～と,東方神歌,恋星 ～Starlight～,藤宮ゆき,,,ブクレシュティの人形師,5,コミックマーケット91
あ～るの～と,東方神歌,マジカラフル,うっち－,,,魔法決戦！　～ Fight it out!,6,コミックマーケット91
あ～るの～と,東方神歌,サカアガリ,藤宮ゆき,,,逆転するホイールオブフォーチュン,7,コミックマーケット91
あ～るの～と,東方神歌,花ノ香,うっち－,,,最も澄みわたる空と海,8,コミックマーケット91
