circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
はにーぽけっと,恋綴里-改訂版-,恋の綴り方,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),妖々夢　～ Snow or Cherry Petal:遠野幻想物語,1,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,キラリ星,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),感情の摩天楼　～ Cosmic Mind,2,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,cloudy days,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),信仰は儚き人間の為に,3,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,蝕む恋の行方,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),"死体旅行　～ Be of good cheer!,",4,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,コイアト,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),キャプテン・ムラサ,5,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,深い霧,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),U.N.オーエンは彼女なのか？,6,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,ゼンマイ恋時計,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),遠野幻想物語:ティアオイエツォン(withered leaf),7,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,uso tsu ki,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),六十年目の東方裁判　～ Fate of Sixty Years,8,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,WHO?,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),平安のエイリアン,9,コミックマーケット88
はにーぽけっと,恋綴里-改訂版-,月とかくれんぼ,あき(はにーぽけっと),はにーぽけっと,あき(はにーぽけっと),向こう側の月:大空魔術　～ Magical Astronomy,10,コミックマーケット88
