circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Playback more,小峠舞,K2,天音未優,いたずらに命をかけて,1,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Fantasista Gate,小峠舞,K2,天音未優,デザイアドライブ,2,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,WHITE FEVER,小峠舞,K2,天音未優,クリスタライズシルバー,3,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Nymphaea,小峠舞,K2,W*M,ネイティブフェイス,4,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Dolce!,小峠舞,K2,天音未優,恋色マスタースパーク,5,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Screen,小峠舞,K2,天音未優,あなたの町の怪事件,6,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,臨界Cyber,小峠舞,K2,W*M,少女幻葬　～ Necro-Fantasy,7,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Surprised Me!!,小峠舞,K2,W*M,万年置き傘にご注意を,8,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Just Like That,小峠舞,K2,W*M,佐渡の二ッ岩,9,コミックマーケット86
C-CLAYS,輝跡Ⅱ -MemoriaⅡ-,Shiny Up！,小峠舞,K2,W*M,東方妖怪小町,10,コミックマーケット86
