circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
ふぉれすとぴれお,Ｔ★GIRLS.04,クレープちゅうどく,みぃしゃ,かめりあ,かめりあ,プラスチックマインド,1,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,Shall I make tea for you?,りおん,雪月ありす,雪月ありす,輝く針の小人族　～ Little Princess:人形裁判　～ 人の形弄びし少女:恋色マスタースパーク:少女綺想曲　～ Dream Battle,2,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,笑顔の魔法,めらみぽっぷ,味玉定食,味付け玉子,人形裁判　～ 人の形弄びし少女,3,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,命より重いご主人様,kana,未来派,未来派,少女綺想曲　～ Dream Battle:春色小径　～ Colorful Path,4,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,A La Maid☆紅魔館店,NANA:あき,FOIV,NANA@Banana,ブクレシュティの人形師,5,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,しょすて☆きみで,ななひら,y0c1e,y0c1e,ヴワル魔法図書館:ラクトガール　～ 少女密室,6,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,Likes＆disLikes,NANA@Banana,nmk:佐原誠,こよい,人形裁判　～ 人の形弄びし少女,7,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,ウサギフラッペ,めらみぽっぷ,ふなこし,ふなこし,狂気の瞳　～ Invisible Full Moon,8,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,Smile,たえかわアキ,Ash,Ash,Romantic Children,9,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,夕凪跡地の小さな怪談,Φ串Φ,Hull,りでー,メイガスナイト,10,博麗神社例大祭11
ふぉれすとぴれお,Ｔ★GIRLS.04,ミシック・ランナー,月葉,Hull,りでー,春色小径　～ Colorful Path,11,博麗神社例大祭11
