circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Aqua Blend Server,Fragmentary Complex,Liebe macht blind.,,m@ko,,恋色マスタースパーク,1,コミックマーケット90
Aqua Blend Server,Fragmentary Complex,Magical City And Witch,,たしろう,,the Grimoire of Alice,2,コミックマーケット90
Aqua Blend Server,Fragmentary Complex,まどろみの中に誘われて,,たしろう,,少女さとり　～ 3rd eye,3,コミックマーケット90
Aqua Blend Server,Fragmentary Complex,liked girl,,な↑なし,,ラクトガール　～ 少女密室,4,コミックマーケット90
Aqua Blend Server,Fragmentary Complex,The Dream Of Fusing Me,,たしろう,,霊知の太陽信仰　～ Nuclear Fusion,5,コミックマーケット90
