circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event,arrange_circle
KARASHIC RECORDS&UNVALANCE,FLoaT,Flow,,tominion,,天空の花の都,1,博麗神社例大祭SP2,KARASHIC RECORDS
KARASHIC RECORDS&UNVALANCE,FLoaT,"Stream,Again",,tominion,,死霊の夜桜,2,博麗神社例大祭SP2,KARASHIC RECORDS
KARASHIC RECORDS&UNVALANCE,FLoaT,HAKUREI*,,tominion,,少女綺想曲　～ Dream Battle,3,博麗神社例大祭SP2,KARASHIC RECORDS
KARASHIC RECORDS&UNVALANCE,FLoaT,Summer Vacation(is Over),,楷ノ木かえで,,フェアリー冒険譚,4,博麗神社例大祭SP2,UNVALANCE
KARASHIC RECORDS&UNVALANCE,FLoaT,Mortal Sin,,楷ノ木かえで,,デザイアドライブ,5,博麗神社例大祭SP2,UNVALANCE
KARASHIC RECORDS&UNVALANCE,FLoaT,Long Long Integer,,楷ノ木かえで,,リジッドパラダイス,6,博麗神社例大祭SP2,UNVALANCE
