circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
NeuzKraft,"[月下|東方]美人","妖々夢　～ Snow or Cherry Petal","",,,,1,
NeuzKraft,"[月下|東方]美人","東方妖々夢　～ Ancient Temple","",,,,2,
NeuzKraft,"[月下|東方]美人","リーインカーネーション","",,,,3,
NeuzKraft,"[月下|東方]美人","亡き王女の為のセプテット","",,,,4,
NeuzKraft,"[月下|東方]美人","少女綺想曲　～ Dream Battle","",,,,5,
NeuzKraft,"[月下|東方]美人","ヴォヤージュ1969","",,,,6,
NeuzKraft,"[月下|東方]美人","千年幻想郷　～ History of the Moon","",,,,7,
NeuzKraft,"[月下|東方]美人","ヴォヤージュ1970","",,,,8,
NeuzKraft,"[月下|東方]美人","Rosafarbener Traum","",,,,9,
NeuzKraft,"[月下|東方]美人","Dibain Ghost-Uniting-","",,,,10,
NeuzKraft,"[月下|東方]美人","Faker's bebop","",,,,11,
NeuzKraft,"[月下|東方]美人","Septheet","",,,,12,
NeuzKraft,"[月下|東方]美人","Uberhaupt Traum","",,,,13,
NeuzKraft,"[月下|東方]美人","the Voyager","",,,,14,
