circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
EastNewSound,Spectral Rejection the Instrumental,自鳴琴,,raku,,少女綺想曲　～ Dream Battle,1,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,光,,黒鳥,,キャプテン・ムラサ,2,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,WORLD'S END,,きりん,,ネクロファンタジア,3,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,Plastic Memories,,溝口ゆうま,,プラスチックマインド,4,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,Rainy Blue,,黒鳥,,素敵な墓場で暮しましょ,5,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,Lemures Prelude,,きりん,,幽霊楽団　～ Phantom Ensemble,6,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,flutter in the wind,,天音,,風の循環　～ Wind Tour,7,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,empyreal energy,,Tracy,,天空の花の都,8,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,桜華閃輝,,黒鳥,,東方妖々夢　～ Ancient Temple,9,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,"Cloudy,flowing",,きりん,,閉ざせし雲の通い路,10,博麗神社例大祭11
EastNewSound,Spectral Rejection the Instrumental,フタリゴト,,黒鳥,,,11,博麗神社例大祭11
