circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
セブンスヘブンMAXION,SHM-BEST/S DISC-1,八重の雲抜けて,井上みゆ,Succubus,MAKI,遠野幻想物語,1,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,Give Me Sunshine!!,井上みゆ,Succubus,MAKI,ほおずきみたいに紅い魂,2,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,舞風テイルテラー,井上みゆ,Succubus,MAKI,昔話わんだーらんど,3,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,words-worth,Le Ciel,Succubus,MAKI,Bad Apple!!,4,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,Dear My Temple ～ ハートの魔法,梨本悠里,Succubus,MAKI,感情の摩天楼　～ Cosmic Mind,5,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,Don't look Eyes,雪野梨沙,Succubus,MAKI,シンデレラケージ　～ Kagome-Kagome,6,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,Crimson Envious,井上みゆ,Succubus,MAKI,渡る者の途絶えた橋,7,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,yell☆shine☆dance!!,井上みゆ,Succubus,MAKI,年中夢中の好奇心,8,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,ツヨクテニューゲーム,のりこ,Succubus,MAKI,少女神性　～ Pandora's Box,9,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,WoRSHiP,謎の人物Ｋ,Succubus,MAKI,ネイティブフェイス,10,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,常闇セツナトリスト,井上みゆ,Succubus,MAKI,Reincarnation,11,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,愁嘆テレグノシス,謎の人物Ｋ,Succubus,MAKI,フォールオブフォール　～ 秋めく滝,12,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,mendacium,Le Ciel,Succubus,MAKI,感情の摩天楼　～ Cosmic Mind,13,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,月の隠れんぼ,梨本悠里,Succubus,MAKI,いたずらに命をかけて,14,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,太陽に最も近い城の姫君,yuko,Succubus,MAKI,妖精大戦争　～ Fairy Wars,15,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-1,However true,小田ユウ,Succubus,MAKI,風神少女,16,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,GROW UP!,yuko,Succubus,MAKI,Tabula rasa　～ 空白少女,1,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,I want to obtain,Le Ciel,Succubus,MAKI,Maniacal Princess,2,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,炎の核熱八咫烏,井上みゆ,Succubus,MAKI,霊知の太陽信仰　～ Nuclear Fusion,3,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,春風のアンブレラ,梨本悠里,Succubus,MAKI,万年置き傘にご注意を,4,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,breathe in the sky,riraka,Succubus,MAKI,有頂天変　～ Wonderful Heaven,5,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,WELCOME wonderland,謎の人物Ｋ:久猫あむ,Succubus,MAKI,天空の花の都:幽霊楽団　～ Phantom Ensemble,6,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,Gate of Forbidden,riraka,Succubus,MAKI,禁じざるをえない遊戯,7,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,Under midnight,久猫あむ,Succubus,MAKI,エニグマティクドール　～ God Knows,8,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,恋スル乙女ハ希ウ,めらみぽっぷ,Succubus,MAKI,佐渡の二ッ岩,9,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,Attack on Strahl,謎の人物Ｋ,Succubus,MAKI,魔法使いの憂鬱,10,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,革命クラマーレ,小田ユウ,Succubus,MAKI,聖徳伝説　～ True Administrator,11,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,Tight World,riraka,Succubus,MAKI,霊天　～ Spiritual Heaven:夢想時空,12,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,herselves,めらみぽっぷ,Succubus,MAKI,ハーセルヴズ,13,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,迷霧の向こうへ,小田ユウ,Succubus,MAKI,ミストレイク,14,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,ナツサバイブ！,めらみぽっぷ,Succubus,MAKI,神々が恋した幻想郷,15,コミックマーケット88
セブンスヘブンMAXION,SHM-BEST/S DISC-2,vain expect,謎の人物Ｋ,Succubus,MAKI,上海紅茶館　～ Chinese Tea,16,コミックマーケット88
