circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Fujin Girl","",,,,1,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Silly Lovely Girl","",,,,2,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Withered Leaf&Tohno fantasia DB","",,,,3,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Complete Darkness 2013","",,,,4,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Jakarta Tea House","",,,,5,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Locked Girl 2013","",,,,6,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Skyscraper&I miss you","",,,,7,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Sound of my reimu","",,,,8,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","Lunatic Princess 2013 db","",,,,9,
SoundTeam,LORB,"DUGEM WONDERLAND!!!","SAKURA GALAXI","",,,,10,
