circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Cleave Ambivalence the instrumental,Deflation,,MARIN,,月時計　～ ルナ・ダイアル,1,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,Empty Dream,,Tracy,,Maple Dream...,2,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,キミイロ恋愛主義,,Tracy,,神々が恋した幻想郷,3,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,恋情フィロソフィア,,天音,,懐かしき東方の血　～ Old World,4,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,Tragedy,,Masayoshi Minoshima,,東方妖々夢　～ Ancient Temple,5,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,LUNATIC NIGHT!,,溝口ゆうま,,狂気の瞳　～ Invisible Full Moon,6,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,Dear New-World,,MARIN,,輝く針の小人族　～ Little Princess,7,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,Bloody Bloody Moon,,MARIN,,メイドと血の懐中時計,8,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,Fall of Love!,,MARIN,,フォールオブフォール　～ 秋めく滝,9,博麗神社秋季例大祭2
Amateras Records,Cleave Ambivalence the instrumental,Punishment [Tracy Remix],,Masayoshi Minoshima,,時の風,10,博麗神社秋季例大祭2
