circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Everlasting Conviction the instrumental,Profile,,Masayoshi Minoshima,,花映塚 ～ after Higan Retour,1,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Little Treasure,,天音,,春の湊に,2,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Loop Back,,溝口ゆうま,,夜雀の歌声　～ Night Bird,3,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Spring Is In The Air,,Tracy,,東方妖々夢　～ Ancient Temple:幽雅に咲かせ、墨染の桜　～ Border of Life,4,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,accelerate,,Tracy,,懐かしき東方の血　～ Old World,5,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Rigid Lover,,taqumi,,リジッドパラダイス,6,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Impatience,,MUZIK SERVANT,,アンノウンＸ　～ Unfound Adventure,7,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,恋繋エピローグ,,Tracy vs. Astronomical,,砕月,8,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Purely,,taqumi,,ピュアヒューリーズ　～ 心の在処,9,コミックマーケット90
Amateras Records,Everlasting Conviction the instrumental,Bloody Bloody Moon [Astronomical Remix],,Astronomical,,メイドと血の懐中時計,10,コミックマーケット90
