circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Infinity Asterisk,Waited for...,えみぃ,天音,海兎,アルティメットトゥルース,1,コミックマーケット85
Amateras Records,Infinity Asterisk,Little Wish,築山さえ,MARIN,築山さえ,少女が見た日本の原風景,2,コミックマーケット85
Amateras Records,Infinity Asterisk,Star Connect,KUMI(ヲタみん),Tracy,海兎,信仰は儚き人間の為に,3,コミックマーケット85
Amateras Records,Infinity Asterisk,Dream Dream Dream,ほたる,溝口ゆうま,こばきょん,the Last Judgement,4,コミックマーケット85
Amateras Records,Infinity Asterisk,Crazy Diamond,miko,cYsmix,海兎,竹取飛翔　～ Lunatic Princess,5,コミックマーケット85
Amateras Records,Infinity Asterisk,Swear by God,ほたる,Tracy,ほたる,輝く針の小人族　～ Little Princess,6,コミックマーケット85
Amateras Records,Infinity Asterisk,"Follow Me, Set Me Free",黒崎朔夜,Tracy:Astronomical,海兎,風神少女,7,コミックマーケット85
Amateras Records,Infinity Asterisk,Indomitable Spirit,ほたる,Tracy,海兎,明治十七年の上海アリス,8,コミックマーケット85
Amateras Records,Infinity Asterisk,Re:Birth,めらみぽっぷ,MARIN,海兎,リバースイデオロギー,9,コミックマーケット85
Amateras Records,Infinity Asterisk,星色オーケストラ,築山さえ,きりん,築山さえ,マジカルストーム,10,コミックマーケット85
