circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Brilliant Story,Fantastic Fall,柚之原りえ,Tracy,海兎,フォールオブフォール　～ 秋めく滝,1,コミックマーケット91
Amateras Records,Brilliant Story,No doubt!,築山さえ,MUZIK SERVANT:LU-I,築山さえ,死体旅行　～ Be of good cheer!,2,コミックマーケット91
Amateras Records,Brilliant Story,綺想ヒロイズム,築山さえ,Tracy,築山さえ,少女綺想曲　～ Dream Battle,3,コミックマーケット91
Amateras Records,Brilliant Story,Mental Disorder,moca,taqumi,海兎,少女さとり　～ 3rd eye,4,コミックマーケット91
Amateras Records,Brilliant Story,Nuclear Fusion,築山さえ,Masayoshi Minoshima,築山さえ,霊知の太陽信仰　～ Nuclear Fusion,5,コミックマーケット91
Amateras Records,Brilliant Story,Lonely Oneway Road,まめみ,Tracy:井沢玲,まめみ,春色小径　～ Colorful Path,6,コミックマーケット91
Amateras Records,Brilliant Story,Rising Game,Renna,溝口ゆうま,海兎,千年幻想郷　～ History of the Moon,7,コミックマーケット91
Amateras Records,Brilliant Story,Question.,築山さえ,Tracy,築山さえ,遠野幻想物語,8,コミックマーケット91
Amateras Records,Brilliant Story,Ephemeral Flowers,黒崎朔夜,葵,葵,Reincarnation,9,コミックマーケット91
Amateras Records,Brilliant Story,Rainy Night [Astronomical Remix],築山さえ,Tracy vs. Astronomical,築山さえ,オリジナル,10,コミックマーケット91
