circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Sparkling Alteration the instrumental,PLASTIC DREAMER,,隣人,,プラスチックマインド,1,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Fleeting Love,,MUZIK SERVANT:LU-I,,the Last Judgement,2,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,神様アマノジャク,,Tracy,,ネイティブフェイス,3,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Scarlet Keeper,,taqumi,,上海紅茶館　～ Chinese Tea,4,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Quarter,,Tracy,,六十年目の東方裁判　～ Fate of Sixty Years,5,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,All is Decided,,溝口ゆうま,,Maple Dream...,6,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Swear,,Masayoshi Minoshima,,戦車むすめのみるゆめ,7,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Stray Star,,Tracy,,不思議の国のアリス,8,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Magic Butterfly,,MARIN,,法界の火,9,博麗神社秋季例大祭3
Amateras Records,Sparkling Alteration the instrumental,Song for you.,,Tracy,,佐渡の二ッ岩,10,博麗神社秋季例大祭3
