circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
Amateras Records,Trip to Fairyland the instrumental,アタラシイセカイ,,Kirin,,宇宙巫女現る,1,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,Fortune Is Not Control,,MARIN,,凍り付いた永遠の都,2,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,Nothingness,,Masayoshi Minoshima,,湖は浄めの月光を映して,3,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,Live It!,,taqumi,,遥か３８万キロのボヤージュ,4,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,MGMG,,溝口ゆうま,,九月のパンプキン,5,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,W.O.F.,,MUZIK SERVANT,,逆転するホイールオブフォーチュン,6,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,Complication,,Tracy,,ピュアヒューリーズ　～ 心の在処,7,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,Special Smile,,Tracy,,星条旗のピエロ,8,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,Fleeting,,MARIN,,忘れがたき、よすがの緑,9,博麗神社例大祭13
Amateras Records,Trip to Fairyland the instrumental,春夢,,MARIN,,永遠の春夢,10,博麗神社例大祭13
