circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
SWING HOLIC,COOL JAZZ TOHO,Higan Retour,,panoman,,花映塚　～ Higan Retour,1,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,BAd APPLE,,atabo,,Bad Apple!!,2,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,subterranean rose,,atabo,,ハルトマンの妖怪少女,3,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,RE.SURRECTION,,panoman,,月まで届け、不死の煙,4,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,POKER FACE,,atabo,,亡失のエモーション,5,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,MAGiCAL WAND,,atabo,,輝く針の小人族　～ Little Princess,6,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,DESIRE DRIVE,,atabo,,デザイアドライブ,7,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,Wheel of Fortune,,panoman,,運命のダークサイド,8,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,The Phantom Ensemble,,atabo,,幽霊楽団　～ Phantom Ensemble,9,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,Q.E.D.,,panoman,,U.N.オーエンは彼女なのか？,10,博麗神社秋季例大祭
SWING HOLIC,COOL JAZZ TOHO,Missing Power,,panoman,,萃夢想,11,博麗神社秋季例大祭
