circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
SWING HOLIC,COOL JAZZ TOHO II,soul survivor,,panoman,,欲深き霊魂,1,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,demystification,,atabo,,Demystify Feast,2,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,ALIEN NATION,,panoman,,平安のエイリアン,3,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,TENQ,,panoman,,天空の花の都,4,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,Devil's bloodlust,,panoman,,亡き王女の為のセプテット,5,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,POROROCA,,panoman,,芥川龍之介の河童　～ Candid Friend,6,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,CLOWNPIECE,,atabo,,星条旗のピエロ,7,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,rabbit of labyrinth,,panoman,,狂気の瞳　～ Invisible Full Moon,8,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,LAST REMOTION,,panoman,,ラストリモート,9,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,Rumbling Beat,,panoman,,始原のビート　～ Pristine Beat,10,コミックマーケット90
SWING HOLIC,COOL JAZZ TOHO II,Strawberry Crisis,,atabo,,Strawberry Crisis!!,11,コミックマーケット90
