circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
C.H.S,"RESetup;","RESetup;(feat.リズナ)","リズナ",,,,1,
C.H.S,"RESetup;","Zomemono",,,,,2,
C.H.S,"RESetup;","Cheesy Trap",,,,,3,
C.H.S,"RESetup;","アマガサsometime(feat.リズナ)","リズナ",,,,4,
C.H.S,"RESetup;","Hurtful Story",,,,,5,
C.H.S,"RESetup;","trick or die?",,,,,6,
C.H.S,"RESetup;","Esoteric Trip",,,,,7,
C.H.S,"RESetup;","Magic Symptom",,,,,8,
C.H.S,"RESetup;","Reckless, but Spotless.",,,,,9,
C.H.S,"RESetup;","Fly me to Sky!(feat.リズナ)","リズナ",,,,10,
