circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
凋叶棕,伝,「幻想萬歳楽」,めらみぽっぷ,RD-Sounds,RD-Sounds,亡失のエモーション,1,コミックマーケット91
凋叶棕,伝,初番目物　「龍人秘抄」,nayuta,RD-Sounds,RD-Sounds,恋色マスタースパーク,2,コミックマーケット91
凋叶棕,伝,狂言「九十九星降」,,RD-Sounds,,幻想浄瑠璃,3,コミックマーケット91
凋叶棕,伝,二番目物　「祟神」,めらみぽっぷ,RD-Sounds,RD-Sounds,明日ハレの日、ケの昨日,4,コミックマーケット91
凋叶棕,伝,狂言「夜聞」,めらみぽっぷ,RD-Sounds,RD-Sounds,永夜抄　～ Eastern Night.,5,コミックマーケット91
凋叶棕,伝,三番目物「花ノ天使」,めらみぽっぷ,RD-Sounds,RD-Sounds,有頂天変　～ Wonderful Heaven,6,コミックマーケット91
凋叶棕,伝,狂言「波鼓」,,RD-Sounds,,始原のビート　～ Pristine Beat,7,コミックマーケット91
凋叶棕,伝,四番目物「奈落唱」,Φ串Φ,RD-Sounds,RD-Sounds,ピュアヒューリーズ　～ 心の在処,8,コミックマーケット91
凋叶棕,伝,狂言「跳ね玉兎」,めらみぽっぷ,RD-Sounds,RD-Sounds,狂気の瞳　～ Invisible Full Moon:兎は舞い降りた,9,コミックマーケット91
凋叶棕,伝,五番目物「鬼顧」,めらみぽっぷ,RD-Sounds,RD-Sounds,華狭間のバトルフィールド,10,コミックマーケット91
