circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
凋叶棕,求,グレートアトラクター (Part ⅰ),,RD-Sounds,,アンノウンＸ　～ Unfound Adventure,1,博麗神社例大祭12
凋叶棕,求,ジ・アノニマス,めらみぽっぷ,RD-Sounds,RD-Sounds,ほおずきみたいに紅い魂,2,博麗神社例大祭12
凋叶棕,求,Die Lorelei,,RD-Sounds,,もう歌しか聞こえない,3,博麗神社例大祭12
凋叶棕,求,タイニーリフレクション,,RD-Sounds,,門前の妖怪小娘,4,博麗神社例大祭12
凋叶棕,求,ア・ローン・ロンリー・ローリン・ローア,めらみぽっぷ,RD-Sounds,RD-Sounds,孤独なウェアウルフ,5,博麗神社例大祭12
凋叶棕,求,REvolt!,,RD-Sounds,,芥川龍之介の河童　～ Candid Friend,6,博麗神社例大祭12
凋叶棕,求,すーぱーなちゅらるとりっくわーくす,めらみぽっぷ,RD-Sounds,RD-Sounds,年中夢中の好奇心,7,博麗神社例大祭12
凋叶棕,求,統するに、その群の声をして,,RD-Sounds,,蠢々秋月　～ Mooned Insect,8,博麗神社例大祭12
凋叶棕,求,善意のマモノ,Φ串Φ,RD-Sounds,RD-Sounds,厄神様の通り道　～ Dark Road,9,博麗神社例大祭12
凋叶棕,求,水面よりソット・ヴォーチェ,,RD-Sounds,,秘境のマーメイド,10,博麗神社例大祭12
凋叶棕,求,"Cirno,Q?",めらみぽっぷ,RD-Sounds,RD-Sounds,おてんば恋娘,11,博麗神社例大祭12
凋叶棕,求,グレートアトラクター(Part ⅱ),,RD-Sounds,,アンノウンＸ　～ Unfound Adventure,12,博麗神社例大祭12
凋叶棕,求,からくれなゐの影,めらみぽっぷ,RD-Sounds,RD-Sounds,アンノウンＸ　～ Unfound Adventure,13,博麗神社例大祭12
