circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Spring Shower,小峠舞,K2,W*M,ネクロファンタジア,1,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,愛しキミヲミツケニ,小峠舞,あとぐる,小峠舞,ネイティブフェイス,2,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,in my Jugement,小峠舞,K2,天音未優,芥川龍之介の河童　～ Candid Friend,3,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,罪と代償,小峠舞,あとぐる,小峠舞,千年幻想郷　～ History of the Moon,4,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,ユー・エフ・オー！☆,小峠舞,あとぐる,小峠舞,夜空のユーフォーロマンス,5,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Playback more,小峠舞,K2,小峠舞,いたずらに命をかけて,6,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Visualize～愛しき人へ～,小峠舞,W*M,小峠舞,アルティメットトゥルース,7,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Whirling Truth,小峠舞,K2,W*M,厄神様の通り道　～ Dark Road,8,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,黄泉少女,小峠舞,あとぐる,小峠舞,リジッドパラダイス,9,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Privilege,小峠舞,あとぐる,小峠舞,風神少女,10,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Li-zhi Rich,小峠舞,K2,W*M,幽霊客船の時空を越えた旅,11,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Egoizm,小峠舞,W*M,W*M,紅楼　～ Eastern Dream...,12,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Crazy Plotter ～MUON ver.～,小峠舞,あとぐる,小峠舞,U.N.オーエンは彼女なのか？,13,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,狂奔Matter,小峠舞,K2,W*M,霊知の太陽信仰　～ Nuclear Fusion,14,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,なりきりスペースライダー,小峠舞,K2,小峠舞,大空魔術　～ Magical Astronomy,15,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,外連味フィクサー,小峠舞,K2,W*M,柳の下のデュラハン,16,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,A・MA・NO・JYA・KU,小峠舞,あとぐる,小峠舞,リバースイデオロギー,17,響灯小町祭2
C-CLAYS,C-CLAYS LIVE MUSIC CROSS-FADE-2015-,Shiny Up！,小峠舞,K2,W*M,東方妖怪小町,18,響灯小町祭2
