circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event,arrange_circle
北海道音屋合同,北海道音屋合同,Circus Revarie,,RF,,サーカスレヴァリエ,1,極・東方神居祭2,RED FOREST METAL ORCHESTRA
北海道音屋合同,北海道音屋合同,ブロウイング・オール,,アルアン,,明日ハレの日、ケの昨日,2,極・東方神居祭2,Digital Sound Project
北海道音屋合同,北海道音屋合同,Uptight,,金龍ちゃん:仁科和希,,ブクレシュティの人形師,3,極・東方神居祭2,天鳥堂
北海道音屋合同,北海道音屋合同,Lamentation,,ちょこれーしょん,,U.N.オーエンは彼女なのか？,4,極・東方神居祭2,Crystallize
北海道音屋合同,北海道音屋合同,Darkside of fate,,おでん。,,運命のダークサイド,5,極・東方神居祭2,uncle's sigh
北海道音屋合同,北海道音屋合同,distortedlove,,mana,,平安のエイリアン,6,極・東方神居祭2,ManaFlaRe
北海道音屋合同,北海道音屋合同,沙棒点駆動型極彩天鵞絨戦闘女中兵器,,ななふし,,天鵞絨少女戦　～ Velvet Battle,7,極・東方神居祭2,七海道
北海道音屋合同,北海道音屋合同,Unseasonable Flowering,,とろまる,,幽雅に咲かせ、墨染の桜　～ Border of Life,8,極・東方神居祭2,Parasol Pig
