circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
Fire Rabbit,"Empress of Dolls","Empress of Dolls","",,,,1,
Fire Rabbit,"Empress of Dolls","The Doll of Misery","",,,,2,
