circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
ESQUARIA,extreme,"Ignition, skywalker",綾倉盟,ルオン:Cleantears,ヤヤネヒロコ,竹取飛翔　～ Lunatic Princess,1,博麗神社例大祭11
ESQUARIA,extreme,Voice in the dark,ゆーな,ルオン,海兎,感情の摩天楼　～ Cosmic Mind,2,博麗神社例大祭11
ESQUARIA,extreme,FAITH,CHICACO,ルオン,桶屋トマル,神々が恋した幻想郷,3,博麗神社例大祭11
ESQUARIA,extreme,Abyssal,,satella,,死霊の夜桜,4,博麗神社例大祭11
ESQUARIA,extreme,Unknown × known,めらみぽっぷ,ルオン,あおまふ,平安のエイリアン,5,博麗神社例大祭11
ESQUARIA,extreme,Watch your back,,LAZ,,妖怪裏参道,6,博麗神社例大祭11
ESQUARIA,extreme,Voice in the dark - izna Remix -,ゆーな,ルオン:izna,海兎,感情の摩天楼　～ Cosmic Mind,7,博麗神社例大祭11
ESQUARIA,extreme,Sky reflector,,ziki_7,,空の帰り道　～ Sky Dream,8,博麗神社例大祭11
ESQUARIA,extreme,Unknown × known - DYES IWASAKI Remix -,めらみぽっぷ,ルオン:DYES IWASAKI,あおまふ,平安のエイリアン,9,博麗神社例大祭11
ESQUARIA,extreme,FAITH - Linjin Remix -,CHICACO,ルオン:隣人,桶屋トマル,神々が恋した幻想郷,10,博麗神社例大祭11
