circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
SoundTeam,LORB,"東方西走","Intro","",,,,1,
SoundTeam,LORB,"東方西走","Dream Express - MMT Complex","",,,,2,
SoundTeam,LORB,"東方西走","OrientalDarkFlight - Daydream Starlight","",,,,3,
SoundTeam,LORB,"東方西走","4色マジック","",,,,4,
SoundTeam,LORB,"東方西走","ヴワル魔法図書館 - Magic waltz","",,,,5,
SoundTeam,LORB,"東方西走","上海紅茶館 - Bright red and Elegant slave","",,,,6,
SoundTeam,LORB,"東方西走","ブクレシュティの人形師 - Imitation dolls","",,,,7,
SoundTeam,LORB,"東方西走","Hakurei - Velocity of sky","",,,,8,
SoundTeam,LORB,"東方西走","裏切りの少女 - March of the girls 1.2","",,,,9,
SoundTeam,LORB,"東方西走","二色蓮花蝶 - Ancient 2A03 Technology Mix","",,,,10,
SoundTeam,LORB,"東方西走","彼岸帰航 - Riverside View","",,,,11,
SoundTeam,LORB,"東方西走","Outro","",,,,12,
