circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
凋叶棕,喩,現世の巫女,,RD-Sounds,,星の器　～ Casket of Star,1,コミックマーケット88
凋叶棕,喩,少女飛翔曲　～　Everlasting Longing,めらみぽっぷ,RD-Sounds,RD-Sounds,風神少女,2,コミックマーケット88
凋叶棕,喩,silent disorder,,RD-Sounds,,月の妖鳥、化猫の幻,3,コミックマーケット88
凋叶棕,喩,true outsiders,nayuta:めらみぽっぷ,RD-Sounds,RD-Sounds,向こう側の月,4,コミックマーケット88
凋叶棕,喩,カ-210号の嘆き,めらみぽっぷ,RD-Sounds,RD-Sounds,芥川龍之介の河童　～ Candid Friend,5,コミックマーケット88
凋叶棕,喩,揺レル鈴之音,,RD-Sounds,,佐渡の二ッ岩,6,コミックマーケット88
凋叶棕,喩,タイド・コラプション,めらみぽっぷ,RD-Sounds,RD-Sounds,阿礼の子供:ジャパニーズサーガ,7,コミックマーケット88
凋叶棕,喩,はじまりのワイゲルト,3L,RD-Sounds,RD-Sounds,ブクレシュティの人形師:童祭　～ Innocent Treasures:明治十七年の上海アリス,8,コミックマーケット88
凋叶棕,喩,レディ・イン・パープルシャドウ,,RD-Sounds,,ネクロファンタジア,9,コミックマーケット88
凋叶棕,喩,プリズムリバー練習曲第一番“はじめての合奏”,めらみぽっぷ,RD-Sounds,RD-Sounds,幽霊楽団　～ Phantom Ensemble,10,コミックマーケット88
凋叶棕,喩,A transient faith,めらみぽっぷ,RD-Sounds,RD-Sounds,少女が見た日本の原風景:信仰は儚き人間の為に,11,コミックマーケット88
凋叶棕,喩,ドリーム・アフター・ドリーム,,RD-Sounds,,星の器　～ Casket of Star,12,コミックマーケット88
凋叶棕,喩,ハロー、マイフレンド。,めらみぽっぷ,RD-Sounds,RD-Sounds,星の器　～ Casket of Star:空飛ぶ巫女の不思議な毎日,13,コミックマーケット88
