circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
凋叶棕,夢,スウィート・ドリームズ,,RD-Sounds,,永遠の春夢,1,コミックマーケット90
凋叶棕,夢,紅き伝説,めらみぽっぷ,RD-Sounds,RD-Sounds,上海紅茶館　～ Chinese Tea,2,コミックマーケット90
凋叶棕,夢,遠く遠くへ駆けるように,,RD-Sounds,,有頂天変　～ Wonderful Heaven,3,コミックマーケット90
凋叶棕,夢,301,めらみぽっぷ,RD-Sounds,RD-Sounds,広有射怪鳥事　～ Till When?,4,コミックマーケット90
凋叶棕,夢,Over100km/h,,RD-Sounds,,感情の摩天楼　～ Cosmic Mind,5,コミックマーケット90
凋叶棕,夢,輝夜,めらみぽっぷ,RD-Sounds,RD-Sounds,竹取飛翔　～ Lunatic Princess,6,コミックマーケット90
凋叶棕,夢,日常、或いは友のまどろみに添えて,,RD-Sounds,,衛星カフェテラス,7,コミックマーケット90
凋叶棕,夢,無終祭,めらみぽっぷ,RD-Sounds,RD-Sounds,幻想の永遠祭,8,コミックマーケット90
凋叶棕,夢,d__ Nichtigkeit,,RD-Sounds,,ハルトマンの妖怪少女,9,コミックマーケット90
凋叶棕,夢,空に近い場所,めらみぽっぷ,RD-Sounds,RD-Sounds,ジャパニーズサーガ,10,コミックマーケット90
凋叶棕,夢,"Run,Maribel,Run!",,RD-Sounds,,魔術師メリー:満月の竹林,11,コミックマーケット90
凋叶棕,夢,少女人形,nayuta,RD-Sounds,RD-Sounds,人形裁判　～ 人の形弄びし少女,12,コミックマーケット90
凋叶棕,夢,"Lively, the little girl",,RD-Sounds,,オリエンタルダークフライト,13,コミックマーケット90
凋叶棕,夢,enemy of the society,めらみぽっぷ,RD-Sounds,RD-Sounds,あなたの町の怪事件:天狗が見ている　～ Black Eyes:東の国の眠らない夜:レトロスペクティブ京都:風神少女,14,コミックマーケット90
凋叶棕,夢,バッド・ドリームズ,,RD-Sounds,,永遠の春夢,15,コミックマーケット90
